participant.code,owner__session__code,round,owner__volatility,name,timestamp,unix_timestamp,secs_since_round_starts,body,data,Index,slider_value,clicked_volatility
03uv6wi9,w326f36h,8,0.2,sharpChangeDetected,2021-11-08 10:15:08.999782+00:00,1636366508,5,"{'value': 56.058, 'position': 11, 'currentPrice': 98.807, 'priceIndex': 20, 'secs_since_round_starts': 5}",98.807,20.0,,
03uv6wi9,w326f36h,8,0.2,sharpChangeDetected,2021-11-08 10:15:29.950767+00:00,1636366529,26,"{'value': 39.493, 'position': 57, 'currentPrice': 69.693, 'priceIndex': 60, 'secs_since_round_starts': 26}",69.693,60.0,,
03uv6wi9,w326f36h,8,0.2,sharpChangeDetected,2021-11-08 10:16:43.822475+00:00,1636366603,100,"{'value': 35.338, 'position': 194, 'currentPrice': 60.98, 'priceIndex': 200, 'secs_since_round_starts': 100}",60.98,200.0,,
03uv6wi9,w326f36h,8,0.2,Trade_ends,2021-11-08 10:17:10.321159+00:00,1636366630,126,"{'currentPrice': 41.587, 'priceIndex': 250, 'secs_since_round_starts': 126}",41.587,250.0,,
03uv6wi9,w326f36h,9,0.3,Decision_starts,2021-11-08 11:15:30.470222+00:00,1636370130,0,{'secs_since_round_starts': 0},nan,nan,,
03uv6wi9,w326f36h,9,0.3,Decision_volatility_changed,2021-11-08 11:15:37.902753+00:00,1636370137,7,"{'volatility': 4, 'old_volatility': None, 'secs_since_round_starts': 7}",nan,nan,,4.0
03uv6wi9,w326f36h,9,0.3,Decision_volatility_changed,2021-11-08 11:15:39.307444+00:00,1636370139,9,"{'volatility': 6, 'old_volatility': 4, 'secs_since_round_starts': 9}",nan,nan,,6.0
03uv6wi9,w326f36h,9,0.3,Trade_starts,2021-11-08 11:15:41.562905+00:00,1636370141,0,"{'currentPrice': 98.514, 'priceIndex': 10, 'secs_since_round_starts': 0}",98.514,10.0,,
03uv6wi9,w326f36h,9,0.3,slider value changed,2021-11-08 11:16:05.159462+00:00,1636370165,24,"{'sliderValue': 1, 'currentPrice': 117.577, 'priceIndex': 50, 'secs_since_round_starts': 24}",117.577,50.0,1.0,
03uv6wi9,w326f36h,9,0.3,slider value changed,2021-11-08 11:16:08.620911+00:00,1636370168,27,"{'sliderValue': 0, 'currentPrice': 114.204, 'priceIndex': 60, 'secs_since_round_starts': 27}",114.204,60.0,0.0,
03uv6wi9,w326f36h,9,0.3,show confirming dialog,2021-11-08 11:16:08.714929+00:00,1636370168,27,"{'currentPrice': 114.204, 'priceIndex': 60, 'secs_since_round_starts': 27}",114.204,60.0,,
03uv6wi9,w326f36h,9,0.3,Sell,2021-11-08 11:16:09.416995+00:00,1636370169,28,"{'currentPrice': 114.204, 'priceIndex': 60, 'secs_since_round_starts': 28}",114.204,60.0,,
03uv6wi9,w326f36h,10,0.25,Decision_starts,2021-11-08 11:16:12.605125+00:00,1636370172,0,{'secs_since_round_starts': 0},nan,nan,,
03uv6wi9,w326f36h,10,0.25,Decision_volatility_changed,2021-11-08 11:16:17.757691+00:00,1636370177,5,"{'volatility': 4, 'old_volatility': None, 'secs_since_round_starts': 5}",nan,nan,,4.0
03uv6wi9,w326f36h,10,0.25,Decision_volatility_changed,2021-11-08 11:16:19.362242+00:00,1636370179,7,"{'volatility': 5, 'old_volatility': 4, 'secs_since_round_starts': 7}",nan,nan,,5.0
03uv6wi9,w326f36h,10,0.25,Decision_ends,2021-11-08 11:16:20.089572+00:00,1636370180,8,{'secs_since_round_starts': 8},nan,nan,,
03uv6wi9,w326f36h,10,0.25,Trade_starts,2021-11-08 11:16:21.165725+00:00,1636370181,0,"{'currentPrice': 112.768, 'priceIndex': 10, 'secs_since_round_starts': 0}",112.768,10.0,,
03uv6wi9,w326f36h,10,0.25,slider value changed,2021-11-08 11:16:23.711038+00:00,1636370183,2,"{'sliderValue': 0, 'currentPrice': 112.768, 'priceIndex': 10, 'secs_since_round_starts': 2}",112.768,10.0,0.0,
03uv6wi9,w326f36h,10,0.25,show confirming dialog,2021-11-08 11:16:23.803636+00:00,1636370183,2,"{'currentPrice': 112.768, 'priceIndex': 10, 'secs_since_round_starts': 2}",112.768,10.0,,
